,STATION,geo,CensusTract
93,68ST-HUNTER CO,"(40.74221599986316, -73.9489160009391)",36081000100
94,69 ST,"(40.78582304678557, -73.96882849429672)",36061014300
95,7 AV,"(40.700382424235, -73.80800471963833)",36081020800
96,71 ST,"(40.86944399946045, -73.91527899954356)",36061030300
97,72 ST,"(40.603995001687544, -73.75540499924732)",36081100802
98,72 ST-2 AVE,"(40.603995001687544, -73.75540499924732)",36081100802
99,74 ST-BROADWAY,"(40.576033818103646, -73.97595787413822)",36047035400
100,75 AV,"(40.74964456009442, -73.9879368338264)",36061010100
101,75 ST-ELDERTS,"(40.68595099878361, -73.82579799906613)",36081010600
102,77 ST,"(40.77362000074615, -73.95987399886047)",36061012800
103,79 ST,"(40.8142290003391, -73.94077000106708)",36061022800
104,8 AV,"(40.68886654246024, -73.90395860491864)",36047040900
105,8 ST-NYU,"(40.61662166725951, -74.03087600085765)",36047005400
106,80 ST,"(40.75917199967108, -73.95323499978866)",36061023801
107,81 ST-MUSEUM,"(40.74545399979951, -73.98869800128737)",36061007600
108,82 ST-JACKSON H,"(40.751431000286864, -73.97604100111508)",36061008000
109,85 ST-FOREST PK,"(40.85522500175836, -73.92941199742039)",36061027900
110,86 ST,"(40.75276866674217, -73.97918899989101)",36061009400
111,86 ST-2 AVE,"(40.75276866674217, -73.97918899989101)",36061009400
112,88 ST,"(40.76297015245628, -73.98169782344476)",36061013100
113,9 AV,"(40.63496666682377, -74.02337699950728)",36047006800
114,90 ST-ELMHURST,"(40.59092700078133, -73.7969239998421)",36081095400
115,96 ST,"(40.78567199998607, -73.9510700015425)",36061015801
116,96 ST-2 AVE,"(40.78567199998607, -73.9510700015425)",36061015801
117,9TH STREET,"(40.59092700078133, -73.7969239998421)",36081095400
118,ALABAMA AV,"(40.70289855287313, -73.81701287135405)",36081021600
119,ALLERTON AV,"(40.69242699966103, -73.86008700006875)",36081001200
120,AQUEDUCT N.COND,"(40.88924800011476, -73.89858300049647)",36005028500
121,AQUEDUCT RACETR,"(40.747658999559135, -73.88369700071884)",36081028300
122,ASTOR PL,"(40.73005400028978, -73.99106999861966)",36061005700
123,ASTORIA BLVD,"(40.68286062551184, -73.90526176305106)",36047040500
124,ASTORIA DITMARS,"(40.816029252510006, -73.91779152760981)",36005006500
125,ATL AV-BARCLAY,"(40.66624469001985, -73.98025117900944)",36047015100
126,ATLANTIC AV,"(40.69242699966103, -73.86008700006875)",36081001200
127,AVENUE H,"(40.88924800011476, -73.89858300049647)",36005028500
128,AVENUE I,"(40.88924800011476, -73.89858300049647)",36005028500
129,AVENUE J,"(40.88924800011476, -73.89858300049647)",36005028500
130,AVENUE M,"(40.88924800011476, -73.89858300049647)",36005028500
131,AVENUE N,"(40.88924800011476, -73.89858300049647)",36005028500
132,AVENUE P,"(40.73005400028978, -73.99106999861966)",36061005700
133,AVENUE U,"(40.88924800011476, -73.89858300049647)",36005028500
134,AVENUE X,"(40.88924800011476, -73.89858300049647)",36005028500
135,B'WAY-LAFAYETTE,"(40.82952100156747, -73.87451599929486)",36005004800
136,BAY 50 ST,"(40.846809998885504, -73.83256900003744)",36005026601
137,BAY PKWY,"(40.73005400028978, -73.99106999861966)",36061005700
138,BAY RIDGE AV,"(40.861295998683495, -73.89774900102401)",36005023702
139,BAY RIDGE-95 ST,"(40.87885599817935, -73.90483400107873)",36005028300
140,BAYCHESTER AV,"(40.83425499825462, -73.85122199961472)",36005020601
141,BEACH 105 ST,"(40.710517502784, -73.79347419927721)",36081046000
142,BEACH 25 ST,"(40.86952599962676, -73.84638400151765)",36005035000
143,BEACH 36 ST,"(40.6663149325969, -73.88411070800329)",36047112400
144,BEACH 44 ST,"(40.6663149325969, -73.88411070800329)",36047112400
145,BEACH 60 ST,"(40.846809998885504, -73.83256900003744)",36005026601
146,BEACH 67 ST,"(40.86952599962676, -73.84638400151765)",36005035000
147,BEACH 90 ST,"(40.846809998885504, -73.83256900003744)",36005026601
148,BEACH 98 ST,"(40.846809998885504, -73.83256900003744)",36005026601
149,BEDFORD AV,"(40.861295998683495, -73.89774900102401)",36005023702
150,BEDFORD PK BLVD,"(40.65891477368527, -73.89927796057142)",36047092000
151,BEDFORD-NOSTRAN,"(40.745630001138395, -73.90298400173006)",36081026100
152,BERGEN ST,"(40.87885599817935, -73.90483400107873)",36005028300
153,BEVERLEY ROAD,"(40.861295998683495, -73.89774900102401)",36005023702
154,BEVERLY RD,"(40.680428999588415, -73.8438529979573)",36081008600
155,BLEECKER ST,"(40.87885599817935, -73.90483400107873)",36005028300
156,BOROUGH HALL,"(40.861295998683495, -73.89774900102401)",36005023702
157,BOTANIC GARDEN,"(40.69242699966103, -73.86008700006875)",36081001200
158,BOWERY,"(40.680428999588415, -73.8438529979573)",36081008600
159,BOWLING GREEN,"(40.877839385172024, -73.86613410538703)",36005037800
160,BRIARWOOD,"(40.861295998683495, -73.89774900102401)",36005023702
161,BRIGHTON BEACH,"(40.713064999433136, -74.0041310005885)",36061003100
162,BROAD CHANNEL,"(40.861295998683495, -73.89774900102401)",36005023702
163,BROAD ST,"(40.861295998683495, -73.89774900102401)",36005023702
164,BROADWAY,"(40.861295998683495, -73.89774900102401)",36005023702
165,BROADWAY JCT,"(40.861295998683495, -73.89774900102401)",36005023702
166,BRONX PARK EAST,"(40.861295998683495, -73.89774900102401)",36005023702
167,BROOK AV,"(40.861295998683495, -73.89774900102401)",36005023702
168,BROOKLYN BRIDGE,"(40.680428999588415, -73.8438529979573)",36081008600
169,BUHRE AV,"(40.861295998683495, -73.89774900102401)",36005023702
170,BURKE AV,"(40.861295998683495, -73.89774900102401)",36005023702
171,BURNSIDE AV,"(40.59092700078133, -73.7969239998421)",36081095400
172,BUSHWICK AV,"(40.74221599986316, -73.9489160009391)",36081000100
173,CANAL ST,"(40.898286515575286, -73.8543153107622)",36005043400
174,CANARSIE-ROCKAW,"(40.898286515575286, -73.8543153107622)",36005043400
175,CARROLL ST,"(40.71880300107709, -74.00019299927328)",36061004500
176,CASTLE HILL AV,"(40.83425499825462, -73.85122199961472)",36005020601
177,CATHEDRAL PKWY,"(40.83425499825462, -73.85122199961472)",36005020601
178,CENTRAL AV,"(40.58538569133279, -73.82052058959523)",36081094201
179,CENTRAL PK N110,"(40.6663149325969, -73.88411070800329)",36047112400
180,CHAMBERS ST,"(40.83425499825462, -73.85122199961472)",36005020601
181,CHAUNCEY ST,"(40.83425499825462, -73.85122199961472)",36005020601
182,CHRISTOPHER ST,"(40.60467699816932, -73.99817432157568)",36047028800
183,CHURCH AV,"(40.67710217983294, -73.97285279191024)",36047016100
184,CITY / BUS,"(40.759801973870694, -73.98420956591096)",36061012500
185,CITY HALL,"(40.83425499825462, -73.85122199961472)",36005020601
186,CLARK ST,"(40.82823032742169, -73.92569199505733)",36005019500
187,CLASSON AV,"(40.714034819571026, -73.8303702709878)",36081021600
188,CLEVELAND ST,"(40.82823032742169, -73.92569199505733)",36005019500
189,CLINTON-WASH AV,"(40.759801973870694, -73.98420956591096)",36061012500
190,CONEY IS-STILLW,"(40.714034819571026, -73.8303702709878)",36081021600
191,CORTELYOU RD,"(40.61662166725951, -74.03087600085765)",36047005400
192,CORTLANDT ST,"(40.82823032742169, -73.92569199505733)",36005019500
193,COURT SQ,"(40.71880300107709, -74.00019299927328)",36061004500
194,COURT SQ-23 ST,"(40.714034819571026, -73.8303702709878)",36081021600
195,CRESCENT ST,"(40.714034819571026, -73.8303702709878)",36081021600
196,CROWN HTS-UTICA,"(40.67710217983294, -73.97285279191024)",36047016100
197,CYPRESS AV,"(40.714034819571026, -73.8303702709878)",36081021600
198,CYPRESS HILLS,"(40.66476678877493, -73.92252118536001)",36047090000
199,DEKALB AV,"(40.690648119969794, -73.98177094440949)",36047003100
200,DELANCEY/ESSEX,"(40.714034819571026, -73.8303702709878)",36081021600
201,DITMAS AV,"(40.81211799827203, -73.90409799875945)",36005008300
202,DYCKMAN ST,"(40.690648119969794, -73.98177094440949)",36047003100
203,E 143/ST MARY'S,"(40.66476678877493, -73.92252118536001)",36047090000
204,E 149 ST,"(40.762526000304575, -73.9679670004732)",36061011402
205,E 180 ST,"(40.72159430953587, -73.84451672012669)",36081071100
206,EAST 105 ST,"(40.710517502784, -73.79347419927721)",36081046000
207,EAST BROADWAY,"(40.70289855287313, -73.81701287135405)",36081021600
208,EASTCHSTER/DYRE,"(40.75172999941711, -73.85533399834884)",36081040100
209,EASTN PKWY-MUSM,"(40.66476678877493, -73.92252118536001)",36047090000
210,ELDER AV,"(40.747658999559135, -73.88369700071884)",36081028300
211,ELMHURST AV,"(40.67710217983294, -73.97285279191024)",36047016100
212,EUCLID AV,"(40.6663149325969, -73.88411070800329)",36047112400
213,EXCHANGE PLACE,"(40.83425499825462, -73.85122199961472)",36005020601
214,FAR ROCKAWAY,"(40.745630001138395, -73.90298400173006)",36081026100
215,FLATBUSH AV-B.C,"(40.67731566735096, -73.98310999909673)",36047011900
216,FLUSHING AV,"(40.82042099969279, -73.93624499873299)",36061023200
